FilePath,SegmentPath,Class,Duration,Origin,Subset
../../Dataset/Audios/Watkins Marine Mammals/Full/Grampus_Risso'sDolphin/5903001Q.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/Grampus_Risso'sDolphin/5903001Q_0_1.07.wav,Grampus_Risso'sDolphin,1.0734375,Watkins Marine Mammals,train
../../Dataset/Audios/Watkins Marine Mammals/Full/Long_FinnedPilotWhale/7501000L.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/Long_FinnedPilotWhale/7501000L_0_1.88.wav,Long_FinnedPilotWhale,1.877983193277311,Watkins Marine Mammals,train
../../Dataset/Audios/Watkins Marine Mammals/Full/CommonDolphin/8700300M.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/8700300M_0_1.42.wav,CommonDolphin,1.41796875,Watkins Marine Mammals,train
../../Dataset/Audios/Watkins Marine Mammals/Full/KillerWhale/97767002.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/KillerWhale/97767002_0_1.59.wav,KillerWhale,1.589771689497717,Watkins Marine Mammals,train
../../Dataset/Audios/Watkins Marine Mammals/Full/CommonDolphin/57026079.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/57026079_0_2.58.wav,CommonDolphin,2.5823,Watkins Marine Mammals,train
../../Dataset/Audios/Watkins Marine Mammals/Full/CommonDolphin/57026007.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/57026007_0_1.16.wav,CommonDolphin,1.1585,Watkins Marine Mammals,train
../../Dataset/Audios/Watkins Marine Mammals/Full/KillerWhale/9777200B.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/KillerWhale/9777200B_0_0.98.wav,KillerWhale,0.9789954337899544,Watkins Marine Mammals,train
../../Dataset/Audios/Watkins Marine Mammals/Full/KillerWhale/9774700J.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/KillerWhale/9774700J_0_1.36.wav,KillerWhale,1.3632,Watkins Marine Mammals,train
../../Dataset/Audios/Watkins Marine Mammals/Full/KillerWhale/6002602K.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/KillerWhale/6002602K_0_1.93.wav,KillerWhale,1.9291629955947136,Watkins Marine Mammals,train
../../Dataset/Audios/Watkins Marine Mammals/Full/KillerWhale/97750004.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/KillerWhale/97750004_0_2.29.wav,KillerWhale,2.2889497716894978,Watkins Marine Mammals,train
../../Dataset/Audios/Watkins Marine Mammals/Full/Long_FinnedPilotWhale/5402400C.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/Long_FinnedPilotWhale/5402400C_0.0_3.0.wav,Long_FinnedPilotWhale,3.0,Watkins Marine Mammals,train
../../Dataset/Audios/Watkins Marine Mammals/Full/Long_FinnedPilotWhale/5402400C.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/Long_FinnedPilotWhale/5402400C_3.0_6.0.wav,Long_FinnedPilotWhale,3.0,Watkins Marine Mammals,train
